ligand,receptor,sender,receiver,ligand_mean,receptor_mean,score,sample
IFNG,IFNGR2,T_cells,NK,0.065764524,2.3951724,0.15751737,HJX
LGALS9,HAVCR2,Mast,Myeloid,0.41281474,0.37446254,0.15458366,HJX
CCL5,CCR1,T_cells,Myeloid,1.2914703,0.11890795,0.15356609,HJX
TNF,TNFRSF1B,Myeloid,Endothelial,0.19780117,0.76920164,0.15214899,HJX
CCL4,CCR5,Myeloid,T_cells,1.0829751,0.14029196,0.1519327,HJX
TGFB1,TGFBR2,Endothelial,T_cells,0.66878486,0.22375883,0.14964652,HJX
CD47,SIRPA,T_cells,Myeloid,0.28236476,0.5204763,0.14696416,HJX
CCL5,CCR5,Epithelial,T_cells,1.0416131,0.14029196,0.14612994,HJX
LGALS9,HAVCR2,Myeloid,Epithelial,1.0775696,0.13520019,0.14568761,HJX
IL18,IL18R1,Endothelial,Mast,0.15548448,0.9316984,0.14486463,HJX
TNFSF4,TNFRSF4,T_cells,T_cells,0.17416753,0.83008635,0.14457409,HJX
CD47,SIRPA,T_cells,Mast,0.28236476,0.5094025,0.14383732,HJX
TGFB1,TGFBR2,T_cells,Fibroblasts,0.943218,0.14658342,0.13826013,HJX
TGFB1,TGFBR2,Myeloid,T_cells,0.61772907,0.22375883,0.13822234,HJX
CCL5,CCR4,Epithelial,T_cells,1.0416131,0.13201897,0.13751268,HJX
LGALS9,HAVCR2,Mast,Mast,0.41281474,0.33294633,0.13744515,HJX
LGALS9,HAVCR2,Fibroblasts,Myeloid,0.36342928,0.37446254,0.13609065,HJX
TGFB1,TGFBR2,Mast,Mast,0.46777594,0.28940454,0.13537648,HJX
TNFSF10,TNFRSF10A,NK,T_cells,2.3951724,0.05597758,0.13407595,HJX
CCL3,CCR5,Myeloid,Myeloid,1.5336057,0.08682427,0.1331542,HJX
TNFSF10,TNFRSF10A,Endothelial,Endothelial,0.8157559,0.1622378,0.13234644,HJX
TGFB1,TGFBR2,T_cells,Epithelial,0.943218,0.13997447,0.13202645,HJX
VSIR,VSIR,Myeloid,Mast,0.725451,0.18089557,0.13123088,HJX
VSIR,VSIR,Mast,Myeloid,0.18089557,0.725451,0.13123088,HJX
CSF1,CSF1R,NK,Endothelial,2.3951724,0.05396571,0.12925717,HJX
CCL4,CCR1,Myeloid,Myeloid,1.0829751,0.11890795,0.12877436,HJX
TGFB1,TGFBR1,Endothelial,Mast,0.66878486,0.1915718,0.12812032,HJX
LGALS9,HAVCR2,T_cells,Myeloid,0.3412623,0.37446254,0.12778996,HJX
VEGFB,FLT1,Mast,Endothelial,0.14481473,0.8822788,0.12776697,HJX
